hostname,os,environment,country,node
LPDEU018,Linux,Production,Germany,018
ASFRA002,AIX,Staging,France,002
SPIRL012,Solaris,Production,Ireland,012
LIESP004,Linux,Integration,Spain,004
LSDEU015,Linux,Staging,Germany,015
SSESP008,Solaris,Staging,Spain,008
SDIRL008,Solaris,Development,Ireland,008
LSIRL026,Linux,Staging,Ireland,026
SPNOR004,Solaris,Production,Norway,004
LPITA014,Linux,Production,Italy,014
APFRA007,AIX,Production,France,007
LTIRL025,Linux,Testing,Ireland,025
LPIRL021,Linux,Production,Ireland,021
LDITA004,Linux,Development,Italy,004
ATDEU008,AIX,Testing,Germany,008
LSITA007,Linux,Staging,Italy,007
LTIRL026,Linux,Testing,Ireland,026
AIDEU005,AIX,Integration,Germany,005
ASIRL009,AIX,Staging,Ireland,009
HPDEU004,HP-UX,Production,Germany,004
LIIRL007,Linux,Integration,Ireland,007
ATDEU009,AIX,Testing,Germany,009
LPIRL022,Linux,Production,Ireland,022
LPIRL023,Linux,Production,Ireland,023
APIRL021,AIX,Production,Ireland,021
ATDEU010,AIX,Testing,Germany,010
AIIRL005,AIX,Integration,Ireland,005
SPIRL013,Solaris,Production,Ireland,013
STDEU014,Solaris,Testing,Germany,014
LDIRL008,Linux,Development,Ireland,008
LTESP014,Linux,Testing,Spain,014
SPNOR005,Solaris,Production,Norway,005
LTDEU016,Linux,Testing,Germany,016
STDEU015,Solaris,Testing,Germany,015
APDEU007,AIX,Production,Germany,007
LTIRL027,Linux,Testing,Ireland,027
LSIRL027,Linux,Staging,Ireland,027
HSITA002,HP-UX,Staging,Italy,002
LPIRL024,Linux,Production,Ireland,024
LSNOR005,Linux,Staging,Norway,005
SPNOR006,Solaris,Production,Norway,006
LTDEU017,Linux,Testing,Germany,017
ATESP005,AIX,Testing,Spain,005
LIESP005,Linux,Integration,Spain,005
SDITA005,Solaris,Development,Italy,005
LTDEU018,Linux,Testing,Germany,018
SDITA006,Solaris,Development,Italy,006
AIDEU006,AIX,Integration,Germany,006
ASDEU009,AIX,Staging,Germany,009
SIIRL004,Solaris,Integration,Ireland,004
HSESP005,HP-UX,Staging,Spain,005
LPDEU019,Linux,Production,Germany,019
LSITA008,Linux,Staging,Italy,008
LSITA009,Linux,Staging,Italy,009
HPFRA005,HP-UX,Production,France,005
LTDEU019,Linux,Testing,Germany,019
SDIRL009,Solaris,Development,Ireland,009
LSESP022,Linux,Staging,Spain,022
ADDEU004,AIX,Development,Germany,004
HSIRL004,HP-UX,Staging,Ireland,004
ADITA003,AIX,Development,Italy,003
LSNOR006,Linux,Staging,Norway,006
SIESP003,Solaris,Integration,Spain,003
STIRL014,Solaris,Testing,Ireland,014
LPFRA008,Linux,Production,France,008
ASDEU010,AIX,Staging,Germany,010
LDIRL009,Linux,Development,Ireland,009
ADDEU005,AIX,Development,Germany,005
LTESP015,Linux,Testing,Spain,015
HSDEU001,HP-UX,Staging,Germany,001
LSIRL028,Linux,Staging,Ireland,028
ASIRL010,AIX,Staging,Ireland,010
LTIRL028,Linux,Testing,Ireland,028
LTDEU020,Linux,Testing,Germany,020
ATIRL014,AIX,Testing,Ireland,014
LTITA014,Linux,Testing,Italy,014
LTESP016,Linux,Testing,Spain,016
ADDEU006,AIX,Development,Germany,006
LSIRL029,Linux,Staging,Ireland,029
LPESP016,Linux,Production,Spain,016
ASFRA003,AIX,Staging,France,003
LTIRL029,Linux,Testing,Ireland,029
LSESP023,Linux,Staging,Spain,023
LPESP017,Linux,Production,Spain,017
LDITA005,Linux,Development,Italy,005
LTESP017,Linux,Testing,Spain,017
LPDEU020,Linux,Production,Germany,020
HPDEU005,HP-UX,Production,Germany,005
SSDEU009,Solaris,Staging,Germany,009
LDIRL010,Linux,Development,Ireland,010
SPITA016,Solaris,Production,Italy,016
STDEU016,Solaris,Testing,Germany,016
LTNOR007,Linux,Testing,Norway,007
LDFRA005,Linux,Development,France,005
ATESP006,AIX,Testing,Spain,006
ASESP006,AIX,Staging,Spain,006
SPFRA007,Solaris,Production,France,007
SSDEU010,Solaris,Staging,Germany,010
LDIRL011,Linux,Development,Ireland,011
STITA010,Solaris,Testing,Italy,010
ADDEU007,AIX,Development,Germany,007
APIRL022,AIX,Production,Ireland,022
STITA011,Solaris,Testing,Italy,011
ATDEU011,AIX,Testing,Germany,011
LPDEU021,Linux,Production,Germany,021
LIFRA002,Linux,Integration,France,002
SPIRL014,Solaris,Production,Ireland,014
ATIRL015,AIX,Testing,Ireland,015
LSIRL030,Linux,Staging,Ireland,030
LIITA005,Linux,Integration,Italy,005
SPITA017,Solaris,Production,Italy,017
LIESP006,Linux,Integration,Spain,006
ADDEU008,AIX,Development,Germany,008
HTDEU002,HP-UX,Testing,Germany,002
SPIRL015,Solaris,Production,Ireland,015
SSESP009,Solaris,Staging,Spain,009
LPITA015,Linux,Production,Italy,015
LTITA015,Linux,Testing,Italy,015
SSESP010,Solaris,Staging,Spain,010
LTESP018,Linux,Testing,Spain,018
LTDEU021,Linux,Testing,Germany,021
SPIRL016,Solaris,Production,Ireland,016
LTDEU022,Linux,Testing,Germany,022
LPFRA009,Linux,Production,France,009
SSDEU011,Solaris,Staging,Germany,011
APDEU008,AIX,Production,Germany,008
APDEU009,AIX,Production,Germany,009
STITA012,Solaris,Testing,Italy,012
LSITA010,Linux,Staging,Italy,010
HIDEU003,HP-UX,Integration,Germany,003
APESP004,AIX,Production,Spain,004
SSDEU012,Solaris,Staging,Germany,012
LSIRL031,Linux,Staging,Ireland,031
HSIRL005,HP-UX,Staging,Ireland,005
APIRL023,AIX,Production,Ireland,023
LTDEU023,Linux,Testing,Germany,023
SPIRL017,Solaris,Production,Ireland,017
LPIRL025,Linux,Production,Ireland,025
LTITA016,Linux,Testing,Italy,016
LPIRL026,Linux,Production,Ireland,026
LPITA016,Linux,Production,Italy,016
HTIRL006,HP-UX,Testing,Ireland,006
LTDEU024,Linux,Testing,Germany,024
HSIRL006,HP-UX,Staging,Ireland,006
LSITA011,Linux,Staging,Italy,011
ATESP007,AIX,Testing,Spain,007
HPESP007,HP-UX,Production,Spain,007
LPDEU022,Linux,Production,Germany,022
LTIRL030,Linux,Testing,Ireland,030
LTESP019,Linux,Testing,Spain,019
STDEU017,Solaris,Testing,Germany,017
HDNOR002,HP-UX,Development,Norway,002
HDITA003,HP-UX,Development,Italy,003
SSESP011,Solaris,Staging,Spain,011
ASDEU011,AIX,Staging,Germany,011
SSITA010,Solaris,Staging,Italy,010
LIITA006,Linux,Integration,Italy,006
LDDEU007,Linux,Development,Germany,007
AIIRL006,AIX,Integration,Ireland,006
LSDEU016,Linux,Staging,Germany,016
LPITA017,Linux,Production,Italy,017
LDDEU008,Linux,Development,Germany,008
LTIRL031,Linux,Testing,Ireland,031
LPITA018,Linux,Production,Italy,018
SSIRL014,Solaris,Staging,Ireland,014
APITA012,AIX,Production,Italy,012
SSDEU013,Solaris,Staging,Germany,013
APESP005,AIX,Production,Spain,005
LPDEU023,Linux,Production,Germany,023
SPDEU016,Solaris,Production,Germany,016
ADIRL005,AIX,Development,Ireland,005
ASIRL011,AIX,Staging,Ireland,011
SSNOR001,Solaris,Staging,Norway,001
STESP009,Solaris,Testing,Spain,009
LPITA019,Linux,Production,Italy,019
ATITA006,AIX,Testing,Italy,006
SSIRL015,Solaris,Staging,Ireland,015
SIDEU004,Solaris,Integration,Germany,004
LPDEU024,Linux,Production,Germany,024
ASDEU012,AIX,Staging,Germany,012
SDIRL010,Solaris,Development,Ireland,010
LPIRL027,Linux,Production,Ireland,027
LTESP020,Linux,Testing,Spain,020
SSIRL016,Solaris,Staging,Ireland,016
STIRL015,Solaris,Testing,Ireland,015
LSIRL032,Linux,Staging,Ireland,032
HTIRL007,HP-UX,Testing,Ireland,007
ATESP008,AIX,Testing,Spain,008
STESP010,Solaris,Testing,Spain,010
SPIRL018,Solaris,Production,Ireland,018
LPIRL028,Linux,Production,Ireland,028
ASDEU013,AIX,Staging,Germany,013
SPNOR007,Solaris,Production,Norway,007
LTIRL032,Linux,Testing,Ireland,032
LPDEU025,Linux,Production,Germany,025
ATIRL016,AIX,Testing,Ireland,016
LSITA012,Linux,Staging,Italy,012
HTDEU003,HP-UX,Testing,Germany,003
AIITA005,AIX,Integration,Italy,005
LTIRL033,Linux,Testing,Ireland,033
LSNOR007,Linux,Staging,Norway,007
APITA013,AIX,Production,Italy,013
LDIRL012,Linux,Development,Ireland,012
LPIRL029,Linux,Production,Ireland,029
LTESP021,Linux,Testing,Spain,021
STDEU018,Solaris,Testing,Germany,018
HTIRL008,HP-UX,Testing,Ireland,008
ATDEU012,AIX,Testing,Germany,012
LSIRL033,Linux,Staging,Ireland,033
LDDEU009,Linux,Development,Germany,009
SDESP005,Solaris,Development,Spain,005
LDDEU010,Linux,Development,Germany,010
LTIRL034,Linux,Testing,Ireland,034
HPNOR002,HP-UX,Production,Norway,002
SPITA018,Solaris,Production,Italy,018
ADDEU009,AIX,Development,Germany,009
LIIRL008,Linux,Integration,Ireland,008
LIDEU008,Linux,Integration,Germany,008
ATDEU013,AIX,Testing,Germany,013
LTDEU025,Linux,Testing,Germany,025
APDEU010,AIX,Production,Germany,010
APIRL024,AIX,Production,Ireland,024
LTDEU026,Linux,Testing,Germany,026
LPDEU026,Linux,Production,Germany,026
SPDEU017,Solaris,Production,Germany,017
LSNOR008,Linux,Staging,Norway,008
APITA014,AIX,Production,Italy,014
STIRL016,Solaris,Testing,Ireland,016
ATDEU014,AIX,Testing,Germany,014
LSIRL034,Linux,Staging,Ireland,034
LTITA017,Linux,Testing,Italy,017
LPESP018,Linux,Production,Spain,018
STITA013,Solaris,Testing,Italy,013
STIRL017,Solaris,Testing,Ireland,017
APDEU011,AIX,Production,Germany,011
SSDEU014,Solaris,Staging,Germany,014
ADDEU010,AIX,Development,Germany,010
LPDEU027,Linux,Production,Germany,027
LTDEU027,Linux,Testing,Germany,027
LDNOR002,Linux,Development,Norway,002
SSDEU015,Solaris,Staging,Germany,015
SPIRL019,Solaris,Production,Ireland,019
SDESP006,Solaris,Development,Spain,006
SSIRL017,Solaris,Staging,Ireland,017
LTDEU028,Linux,Testing,Germany,028
LPFRA010,Linux,Production,France,010
STESP011,Solaris,Testing,Spain,011
LTITA018,Linux,Testing,Italy,018
SIDEU005,Solaris,Integration,Germany,005
SIITA002,Solaris,Integration,Italy,002
LPIRL030,Linux,Production,Ireland,030
LSESP024,Linux,Staging,Spain,024
SSDEU016,Solaris,Staging,Germany,016
LDESP006,Linux,Development,Spain,006
LSDEU017,Linux,Staging,Germany,017
LSESP025,Linux,Staging,Spain,025
LIDEU009,Linux,Integration,Germany,009
APDEU012,AIX,Production,Germany,012
SPDEU018,Solaris,Production,Germany,018
LPITA020,Linux,Production,Italy,020
STITA014,Solaris,Testing,Italy,014
SPIRL020,Solaris,Production,Ireland,020
HTESP003,HP-UX,Testing,Spain,003
ASITA005,AIX,Staging,Italy,005
APESP006,AIX,Production,Spain,006
ATIRL017,AIX,Testing,Ireland,017
HIIRL001,HP-UX,Integration,Ireland,001
SPFRA008,Solaris,Production,France,008
AIIRL007,AIX,Integration,Ireland,007
SSESP012,Solaris,Staging,Spain,012
HSIRL007,HP-UX,Staging,Ireland,007
SSDEU017,Solaris,Staging,Germany,017
APDEU013,AIX,Production,Germany,013
APIRL025,AIX,Production,Ireland,025
LSFRA004,Linux,Staging,France,004
LPESP019,Linux,Production,Spain,019
LDIRL013,Linux,Development,Ireland,013
LDDEU011,Linux,Development,Germany,011
SSNOR002,Solaris,Staging,Norway,002
LPDEU028,Linux,Production,Germany,028
LPIRL031,Linux,Production,Ireland,031
SIDEU006,Solaris,Integration,Germany,006
LSDEU018,Linux,Staging,Germany,018
SSESP013,Solaris,Staging,Spain,013
ASIRL012,AIX,Staging,Ireland,012
LTDEU029,Linux,Testing,Germany,029
LSIRL035,Linux,Staging,Ireland,035
ATFRA004,AIX,Testing,France,004
LTESP022,Linux,Testing,Spain,022
SDNOR003,Solaris,Development,Norway,003
LPITA021,Linux,Production,Italy,021
LSESP026,Linux,Staging,Spain,026
LPIRL032,Linux,Production,Ireland,032
AIDEU007,AIX,Integration,Germany,007
LTESP023,Linux,Testing,Spain,023
LTFRA006,Linux,Testing,France,006
SPDEU019,Solaris,Production,Germany,019
ASESP007,AIX,Staging,Spain,007
LTESP024,Linux,Testing,Spain,024
APIRL026,AIX,Production,Ireland,026
HPESP008,HP-UX,Production,Spain,008
LSIRL036,Linux,Staging,Ireland,036
APFRA008,AIX,Production,France,008
HSITA003,HP-UX,Staging,Italy,003
APIRL027,AIX,Production,Ireland,027
SIITA003,Solaris,Integration,Italy,003
LTIRL035,Linux,Testing,Ireland,035
ASITA006,AIX,Staging,Italy,006
LSDEU019,Linux,Staging,Germany,019
LSDEU020,Linux,Staging,Germany,020
LSITA013,Linux,Staging,Italy,013
LSIRL037,Linux,Staging,Ireland,037
LIITA007,Linux,Integration,Italy,007
LTITA019,Linux,Testing,Italy,019
LTDEU030,Linux,Testing,Germany,030
ASITA007,AIX,Staging,Italy,007
SPDEU020,Solaris,Production,Germany,020
ATESP009,AIX,Testing,Spain,009
LPDEU029,Linux,Production,Germany,029
ATIRL018,AIX,Testing,Ireland,018
APIRL028,AIX,Production,Ireland,028
LTNOR008,Linux,Testing,Norway,008
ATIRL019,AIX,Testing,Ireland,019
LDIRL014,Linux,Development,Ireland,014
LDDEU012,Linux,Development,Germany,012
AIIRL008,AIX,Integration,Ireland,008
LIIRL009,Linux,Integration,Ireland,009
APESP007,AIX,Production,Spain,007
ADFRA002,AIX,Development,France,002
SPIRL021,Solaris,Production,Ireland,021
ATNOR004,AIX,Testing,Norway,004
SSESP014,Solaris,Staging,Spain,014
LDITA006,Linux,Development,Italy,006
LSDEU021,Linux,Staging,Germany,021
STDEU019,Solaris,Testing,Germany,019
SDIRL011,Solaris,Development,Ireland,011
LPITA022,Linux,Production,Italy,022
LPIRL033,Linux,Production,Ireland,033
HPDEU006,HP-UX,Production,Germany,006
LPESP020,Linux,Production,Spain,020
LPESP021,Linux,Production,Spain,021
HTFRA002,HP-UX,Testing,France,002
LTITA020,Linux,Testing,Italy,020
ASESP008,AIX,Staging,Spain,008
STIRL018,Solaris,Testing,Ireland,018
SSIRL018,Solaris,Staging,Ireland,018
LPITA023,Linux,Production,Italy,023
APDEU014,AIX,Production,Germany,014
SSIRL019,Solaris,Staging,Ireland,019
LTESP025,Linux,Testing,Spain,025
LPFRA011,Linux,Production,France,011
SIIRL005,Solaris,Integration,Ireland,005
STIRL019,Solaris,Testing,Ireland,019
LSESP027,Linux,Staging,Spain,027
LPDEU030,Linux,Production,Germany,030
LPESP022,Linux,Production,Spain,022
STIRL020,Solaris,Testing,Ireland,020
LSITA014,Linux,Staging,Italy,014
LPNOR003,Linux,Production,Norway,003
SSFRA011,Solaris,Staging,France,011
LDNOR003,Linux,Development,Norway,003
HSFRA003,HP-UX,Staging,France,003
LSITA015,Linux,Staging,Italy,015
SIIRL006,Solaris,Integration,Ireland,006
LPIRL034,Linux,Production,Ireland,034
LIITA008,Linux,Integration,Italy,008
LSITA016,Linux,Staging,Italy,016
LPITA024,Linux,Production,Italy,024
STITA015,Solaris,Testing,Italy,015
LSESP028,Linux,Staging,Spain,028
LPIRL035,Linux,Production,Ireland,035
ASIRL013,AIX,Staging,Ireland,013
APESP008,AIX,Production,Spain,008
STITA016,Solaris,Testing,Italy,016
SSIRL020,Solaris,Staging,Ireland,020
APNOR003,AIX,Production,Norway,003
LTIRL036,Linux,Testing,Ireland,036
SPDEU021,Solaris,Production,Germany,021
STDEU020,Solaris,Testing,Germany,020
STESP012,Solaris,Testing,Spain,012
ASIRL014,AIX,Staging,Ireland,014
LPFRA012,Linux,Production,France,012
ASDEU014,AIX,Staging,Germany,014
STESP013,Solaris,Testing,Spain,013
SPESP013,Solaris,Production,Spain,013
LPFRA013,Linux,Production,France,013
APDEU015,AIX,Production,Germany,015
LPIRL036,Linux,Production,Ireland,036
ASDEU015,AIX,Staging,Germany,015
LSDEU022,Linux,Staging,Germany,022
LTITA021,Linux,Testing,Italy,021
LIDEU010,Linux,Integration,Germany,010
LTIRL037,Linux,Testing,Ireland,037
LPESP023,Linux,Production,Spain,023
LDESP007,Linux,Development,Spain,007
STDEU021,Solaris,Testing,Germany,021
ATIRL020,AIX,Testing,Ireland,020
ASESP009,AIX,Staging,Spain,009
STIRL021,Solaris,Testing,Ireland,021
LTFRA007,Linux,Testing,France,007
LIITA009,Linux,Integration,Italy,009
SSITA011,Solaris,Staging,Italy,011
SPIRL022,Solaris,Production,Ireland,022
LTIRL038,Linux,Testing,Ireland,038
APNOR004,AIX,Production,Norway,004
AIIRL009,AIX,Integration,Ireland,009
STITA017,Solaris,Testing,Italy,017
LPDEU031,Linux,Production,Germany,031
ASFRA004,AIX,Staging,France,004
SPIRL023,Solaris,Production,Ireland,023
LSESP029,Linux,Staging,Spain,029
STIRL022,Solaris,Testing,Ireland,022
STDEU022,Solaris,Testing,Germany,022
ATESP010,AIX,Testing,Spain,010
ASIRL015,AIX,Staging,Ireland,015
LSESP030,Linux,Staging,Spain,030
LSITA017,Linux,Staging,Italy,017
APNOR005,AIX,Production,Norway,005
HSITA004,HP-UX,Staging,Italy,004
LSIRL038,Linux,Staging,Ireland,038
LPDEU032,Linux,Production,Germany,032
LIDEU011,Linux,Integration,Germany,011
LDIRL015,Linux,Development,Ireland,015
ATFRA005,AIX,Testing,France,005
APIRL029,AIX,Production,Ireland,029
SSNOR003,Solaris,Staging,Norway,003
LIITA010,Linux,Integration,Italy,010
APNOR006,AIX,Production,Norway,006
ADITA004,AIX,Development,Italy,004
STNOR001,Solaris,Testing,Norway,001
HSDEU002,HP-UX,Staging,Germany,002
APDEU016,AIX,Production,Germany,016
ATDEU015,AIX,Testing,Germany,015
SPDEU022,Solaris,Production,Germany,022
HIDEU004,HP-UX,Integration,Germany,004
ASNOR003,AIX,Staging,Norway,003
STDEU023,Solaris,Testing,Germany,023
STDEU024,Solaris,Testing,Germany,024
LSITA018,Linux,Staging,Italy,018
LPITA025,Linux,Production,Italy,025
LPFRA014,Linux,Production,France,014
ASFRA005,AIX,Staging,France,005
ATITA007,AIX,Testing,Italy,007
HTIRL009,HP-UX,Testing,Ireland,009
SPITA019,Solaris,Production,Italy,019
LPITA026,Linux,Production,Italy,026
LTITA022,Linux,Testing,Italy,022
ASIRL016,AIX,Staging,Ireland,016
SPESP014,Solaris,Production,Spain,014
SPIRL024,Solaris,Production,Ireland,024
ASFRA006,AIX,Staging,France,006
STITA018,Solaris,Testing,Italy,018
LTITA023,Linux,Testing,Italy,023
LIIRL010,Linux,Integration,Ireland,010
SPIRL025,Solaris,Production,Ireland,025
ADDEU011,AIX,Development,Germany,011
LTIRL039,Linux,Testing,Ireland,039
SSESP015,Solaris,Staging,Spain,015
LIESP007,Linux,Integration,Spain,007
LTIRL040,Linux,Testing,Ireland,040
ASESP010,AIX,Staging,Spain,010
SPIRL026,Solaris,Production,Ireland,026
SSITA012,Solaris,Staging,Italy,012
LPIRL037,Linux,Production,Ireland,037
LTDEU031,Linux,Testing,Germany,031
LINOR003,Linux,Integration,Norway,003
SSDEU018,Solaris,Staging,Germany,018
LTDEU032,Linux,Testing,Germany,032
LTITA024,Linux,Testing,Italy,024
APESP009,AIX,Production,Spain,009
ASESP011,AIX,Staging,Spain,011
HTIRL010,HP-UX,Testing,Ireland,010
LSESP031,Linux,Staging,Spain,031
LPITA027,Linux,Production,Italy,027
SSIRL021,Solaris,Staging,Ireland,021
LSITA019,Linux,Staging,Italy,019
ATDEU016,AIX,Testing,Germany,016
SPITA020,Solaris,Production,Italy,020
SIIRL007,Solaris,Integration,Ireland,007
SPESP015,Solaris,Production,Spain,015
HPESP009,HP-UX,Production,Spain,009
LPIRL038,Linux,Production,Ireland,038
LPITA028,Linux,Production,Italy,028
LSDEU023,Linux,Staging,Germany,023
SPDEU023,Solaris,Production,Germany,023
LSITA020,Linux,Staging,Italy,020
STDEU025,Solaris,Testing,Germany,025
APIRL030,AIX,Production,Ireland,030
LTESP026,Linux,Testing,Spain,026
ADIRL006,AIX,Development,Ireland,006
STIRL023,Solaris,Testing,Ireland,023
ATFRA006,AIX,Testing,France,006
LDDEU013,Linux,Development,Germany,013
STDEU026,Solaris,Testing,Germany,026
LSDEU024,Linux,Staging,Germany,024
SIDEU007,Solaris,Integration,Germany,007
LPITA029,Linux,Production,Italy,029
APNOR007,AIX,Production,Norway,007
SSESP016,Solaris,Staging,Spain,016
STDEU027,Solaris,Testing,Germany,027
LPESP024,Linux,Production,Spain,024
LSDEU025,Linux,Staging,Germany,025
LPDEU033,Linux,Production,Germany,033
SSIRL022,Solaris,Staging,Ireland,022
ASIRL017,AIX,Staging,Ireland,017
SPDEU024,Solaris,Production,Germany,024
LTIRL041,Linux,Testing,Ireland,041
SPIRL027,Solaris,Production,Ireland,027
SPITA021,Solaris,Production,Italy,021
LIFRA003,Linux,Integration,France,003
ATFRA007,AIX,Testing,France,007
SPESP016,Solaris,Production,Spain,016
HSIRL008,HP-UX,Staging,Ireland,008
LPFRA015,Linux,Production,France,015
STNOR002,Solaris,Testing,Norway,002
LTESP027,Linux,Testing,Spain,027
LDESP008,Linux,Development,Spain,008
SSESP017,Solaris,Staging,Spain,017
LTNOR009,Linux,Testing,Norway,009
LTFRA008,Linux,Testing,France,008
ATIRL021,AIX,Testing,Ireland,021
LIIRL011,Linux,Integration,Ireland,011
LSITA021,Linux,Staging,Italy,021
LDITA007,Linux,Development,Italy,007
STIRL024,Solaris,Testing,Ireland,024
LPITA030,Linux,Production,Italy,030
HSNOR002,HP-UX,Staging,Norway,002
STDEU028,Solaris,Testing,Germany,028
LTIRL042,Linux,Testing,Ireland,042
LPDEU034,Linux,Production,Germany,034
AIIRL010,AIX,Integration,Ireland,010
ASIRL018,AIX,Staging,Ireland,018
LPDEU035,Linux,Production,Germany,035
LDITA008,Linux,Development,Italy,008
SSESP018,Solaris,Staging,Spain,018
SIIRL008,Solaris,Integration,Ireland,008
LTITA025,Linux,Testing,Italy,025
LTNOR010,Linux,Testing,Norway,010
SDIRL012,Solaris,Development,Ireland,012
SPIRL028,Solaris,Production,Ireland,028
LSITA022,Linux,Staging,Italy,022
AIIRL011,AIX,Integration,Ireland,011
LTESP028,Linux,Testing,Spain,028
LSITA023,Linux,Staging,Italy,023
SSDEU019,Solaris,Staging,Germany,019
LPIRL039,Linux,Production,Ireland,039
SPIRL029,Solaris,Production,Ireland,029
LSIRL039,Linux,Staging,Ireland,039
LTDEU033,Linux,Testing,Germany,033
ATIRL022,AIX,Testing,Ireland,022
APESP010,AIX,Production,Spain,010
LTITA026,Linux,Testing,Italy,026
ATIRL023,AIX,Testing,Ireland,023
STIRL025,Solaris,Testing,Ireland,025
SSDEU020,Solaris,Staging,Germany,020
ATIRL024,AIX,Testing,Ireland,024
APIRL031,AIX,Production,Ireland,031
ASITA008,AIX,Staging,Italy,008
SSFRA012,Solaris,Staging,France,012
LSIRL040,Linux,Staging,Ireland,040
ASFRA007,AIX,Staging,France,007
ASITA009,AIX,Staging,Italy,009
SDIRL013,Solaris,Development,Ireland,013
SPIRL030,Solaris,Production,Ireland,030
LSESP032,Linux,Staging,Spain,032
LIFRA004,Linux,Integration,France,004
LPIRL040,Linux,Production,Ireland,040
LPDEU036,Linux,Production,Germany,036
ASITA010,AIX,Staging,Italy,010
HSESP006,HP-UX,Staging,Spain,006
HSITA005,HP-UX,Staging,Italy,005
LSESP033,Linux,Staging,Spain,033
HSITA006,HP-UX,Staging,Italy,006
ASDEU016,AIX,Staging,Germany,016
LSDEU026,Linux,Staging,Germany,026
SSIRL023,Solaris,Staging,Ireland,023
ATESP011,AIX,Testing,Spain,011
LPESP025,Linux,Production,Spain,025
LPDEU037,Linux,Production,Germany,037
HTIRL011,HP-UX,Testing,Ireland,011
STIRL026,Solaris,Testing,Ireland,026
SPDEU025,Solaris,Production,Germany,025
HTESP004,HP-UX,Testing,Spain,004
ATFRA008,AIX,Testing,France,008
APDEU017,AIX,Production,Germany,017
ATITA008,AIX,Testing,Italy,008
HPITA006,HP-UX,Production,Italy,006
LSIRL041,Linux,Staging,Ireland,041
LTIRL043,Linux,Testing,Ireland,043
HSIRL009,HP-UX,Staging,Ireland,009
SSIRL024,Solaris,Staging,Ireland,024
LPITA031,Linux,Production,Italy,031
HTIRL012,HP-UX,Testing,Ireland,012
LSIRL042,Linux,Staging,Ireland,042
SSFRA013,Solaris,Staging,France,013
APIRL032,AIX,Production,Ireland,032
LSITA024,Linux,Staging,Italy,024
LTESP029,Linux,Testing,Spain,029
SSDEU021,Solaris,Staging,Germany,021
LSFRA005,Linux,Staging,France,005
SSITA013,Solaris,Staging,Italy,013
LSESP034,Linux,Staging,Spain,034
SPDEU026,Solaris,Production,Germany,026
ATDEU017,AIX,Testing,Germany,017
APIRL033,AIX,Production,Ireland,033
LIESP008,Linux,Integration,Spain,008
LDDEU014,Linux,Development,Germany,014
HSITA007,HP-UX,Staging,Italy,007
APIRL034,AIX,Production,Ireland,034
LIESP009,Linux,Integration,Spain,009
APNOR008,AIX,Production,Norway,008
HPITA007,HP-UX,Production,Italy,007
LPESP026,Linux,Production,Spain,026
LDESP009,Linux,Development,Spain,009
HDIRL004,HP-UX,Development,Ireland,004
SIFRA004,Solaris,Integration,France,004
SSIRL025,Solaris,Staging,Ireland,025
ATITA009,AIX,Testing,Italy,009
LTFRA009,Linux,Testing,France,009
HPIRL007,HP-UX,Production,Ireland,007
APDEU018,AIX,Production,Germany,018
SPITA022,Solaris,Production,Italy,022
SPIRL031,Solaris,Production,Ireland,031
HTDEU004,HP-UX,Testing,Germany,004
SPESP017,Solaris,Production,Spain,017
SSIRL026,Solaris,Staging,Ireland,026
SSITA014,Solaris,Staging,Italy,014
LIESP010,Linux,Integration,Spain,010
STESP014,Solaris,Testing,Spain,014
LIITA011,Linux,Integration,Italy,011
ASIRL019,AIX,Staging,Ireland,019
LSESP035,Linux,Staging,Spain,035
STESP015,Solaris,Testing,Spain,015
HSITA008,HP-UX,Staging,Italy,008
LPFRA016,Linux,Production,France,016
SSIRL027,Solaris,Staging,Ireland,027
LSIRL043,Linux,Staging,Ireland,043
LSESP036,Linux,Staging,Spain,036
LTESP030,Linux,Testing,Spain,030
LIIRL012,Linux,Integration,Ireland,012
STDEU029,Solaris,Testing,Germany,029
STESP016,Solaris,Testing,Spain,016
AIDEU008,AIX,Integration,Germany,008
HTESP005,HP-UX,Testing,Spain,005
STESP017,Solaris,Testing,Spain,017
LTIRL044,Linux,Testing,Ireland,044
STDEU030,Solaris,Testing,Germany,030
LDFRA006,Linux,Development,France,006
SSIRL028,Solaris,Staging,Ireland,028
LPDEU038,Linux,Production,Germany,038
SPFRA009,Solaris,Production,France,009
LIFRA005,Linux,Integration,France,005
LPIRL041,Linux,Production,Ireland,041
LSESP037,Linux,Staging,Spain,037
AIDEU009,AIX,Integration,Germany,009
ASDEU017,AIX,Staging,Germany,017
LPFRA017,Linux,Production,France,017
LPIRL042,Linux,Production,Ireland,042
LPESP027,Linux,Production,Spain,027
SPNOR008,Solaris,Production,Norway,008
HIIRL002,HP-UX,Integration,Ireland,002
LTITA027,Linux,Testing,Italy,027
SSIRL029,Solaris,Staging,Ireland,029
STIRL027,Solaris,Testing,Ireland,027
HPIRL008,HP-UX,Production,Ireland,008
STIRL028,Solaris,Testing,Ireland,028
SIIRL009,Solaris,Integration,Ireland,009
LPFRA018,Linux,Production,France,018
STDEU031,Solaris,Testing,Germany,031
SPIRL032,Solaris,Production,Ireland,032
STIRL029,Solaris,Testing,Ireland,029
SPESP018,Solaris,Production,Spain,018
APESP011,AIX,Production,Spain,011
LPESP028,Linux,Production,Spain,028
